Album, Items,,,
Mother's Day 2017,16,Done,,
Tom Bowles's 80th Birthday,106,Done,,
The Event- Dayton Metro Library,179,Done,,
2017 Easter,59,Done,,
Patrick & Natalie Campbell Wedding,125,Done,,
Elena's 10th Birthday,104,Done,,
Dayton Mall Branch in 2017 MLK day,37,Done,,
Happy New Year 2017,31,Done,,
Christmas Shots 2016,110,Done,,
Winter Dec 2016,31,Done,,
Brian Kruger Retirement Party,142,Done,,
Mike Madigan's 70th BD,42,Done,,
Christmas Party 2016,82,Done,,
EWC Christmas Party 2016,82,Done,,
Christmas Dinner Bravo,16,Done,,
Gingerbread Christmas Party,56,Done,,
Christmas in Historic Springboro 2016,36,Done,,
Bonfire at the Crawford 2016,18,Done,,
Fall Sunday,26,Done,,
SportsPlex Visit Summer 2016,13,Done,,
La Comedia 2016,11,Done,,
Open House Party 2016,74,Done,,
My 70th Birthday- 2016,107,Done,,
ShaKer's Village in Pleasant Hill,120,Done,,
Kentucky River Bote,58,Done,,
Kentucky Horse Park,441,Done,,
Danville- Kentucky,7,done,,
Kentucky Horse Park Breed Barn,139,Done,,
Lili 1st Birthday,187,Done,,
Eastern 2016,14,Done,,
Mother's Day 2016,18,Done,,
Celebration of Life,90,Done,,
Elena 9th Birthday,36,Done,,
New Year 2016,30,Done,,
Christmas 2015,26,Done,,
Christmas Eve 2015,64,Done,,
Puerto Montt- Chile,401,Done,,
Veterans Day 2015,165,Done,,
Mandalay- Last Day,116,Done,,
Union Island and Happy Island,142,Done,,
Union Island,63,Done,,
Masquerade Party at the Mandalay,92,Done,,
Grenada- Oct 17- 2015,30,Done,,
True Blue Bay Resort- Grenada- Oct 2015,179,Done,,
Carriacou- Oct 12- 2015,61,Done,,
Bequia- Oct 2015,53,Done,,
2015 My Birthday Celebration,47,Done,,
Sledding Day Winter 2015,45,Done,,
Mother's Day 2015,50,Done,,
Father's Day and Lili,56,Done,,
Elena's BD Family Party,99,Done,,
Elena's Sleep Over 2015 BD,39,Done,,
Elena's 8th Birthday Party,111,Done,,
Family several photos 2014,23,Done,,
Alex's Kinder Garden Graduation,29,Done,,
Spin Zone Alex BD Party,105,Done,,
Alex Birthday Party- 2015,76,Done,,
Christmas Day 2014,69,Done,,
Christmas Eve 2014,74,Done,,
Christmas Photos 2014,90,Done,,
Alexander 7th Birthday,111,Done,,
Father's Day 2015,110,Done,,
A World A' Fair 2015,168,Done,,
Mother's Day,111,Done,,
Newport Aquarium 2015,97,Done,,
Llamas and Alpacas 2015,64,Done,,
Eastern 2015,43,Done,,
Elena's 8th Birthday,49,Done,,
The Andes and the Cape Horn Grand Adventure II,4,Done,,
Rio de Janeiro,275,Done,,
At Sea- Navigating North to Warm UP,58,Done,,
Montevideo- Uruguay,228,Done,,
Buenos Aires- Argentina,338,Done,,
Falkland Islands- Stanley,265,Done,,
Rounding Cape Horn,64,Done,,
Sunrise in Patagonia,57,Done,,
Punta Arenas- Chile,168,done,,
La Serena (Coquimbo) Chile,186,Done,,
At Sea from Pisco- Peru to La Serena- Chile,21,Done,,
Going back to Pisco- Peru,46,Done,,
The Aranwa Hotel at the Sacred Valley. Machu Picchu- Peru,114,Done,,
Machu Picchu- Peru,269,Done,,
Lima (Callao) to Cuzco- Peru,194,Done,,
Crossing the Equator,75,Done,,
To South America (Punta Arenas- Lima) at Sea,38,Done,,
Punta Arenas- Costa Rica,105,Done,,
Central America at the Sea,58,Done,,
Cabo San Lucas- Mexico,102,Done,,
Andes & Cape Horn Adventure #1,199,Done,,
Thanksgiving 2014,39,Done,,
St. Maarten- Farewell,124,Done,,
St. Kitts ~ Island Windjammers,84,Done,,
Nevis ~ Island Windjammers,120,Done,,
St. Barthelemey,55,Done,,
Sagitta- St. Maarten- St Barth,97,Done,,
Philipsburg- Sint Maarten,43,Done,,
Divi Little Bay- St. Maarten,148,Done,,
Columbus Crew 2014,40,Done,,
Mr and Mrs Glenn Burns,60,Done,,
Gatlinburg Trip,21,Done,,
Caryville- Tennessee,70,Done,,
Dollywood 2014,105,Done,,
Sanders's Mansion by Norris Lake,37,Done,,
My 68th Birthday,6,Done,,
US Air Force- 2014,499,Done,,
Tom and Bianca Nixon-Young Wedding,48,Done,,
Last Day Working Day Celebration Dinner,10,Done,,
My retirement luncheon,178,Done,,
Cobblestone Village,12,Done,,
Full Moon August 2014,7,Done,,
66th Annual Ice Cream Social,92,Done,,
Newport Aquarium 2014,182,Done,,
Alex 6th Birthday,76,Done,,
Colombian Indendence Day at the El Meson,73,Done,,
Lucian Davis at the Veterans,21,Done,,
World Cup: Colombia vs Brazil,40,Done,,
Colombia 1988,67,Done,,
Visiting the Bowles,39,Done,,
Tom Bowles,287,,,
Father's Day 2014,33,Done,,
Alex Kindergarten commencement,73,Done,,
Memorial Day,69,Done,,
Linda Nothingham Memory Life Celebration,19,Done,,
Easter Family Dinner 2014,109,Done,,
Before Easter Dinner,50,Done,,
Tom Sanders Retirement Party,96,Done,,
OMC 2014,19,done,,
Elena & Alex Soccer 2014,90,Done,,
Pam McCarthy Retirement,18,Done,,
Michael Grier's Birthday 2014,20,Done,,
TechFest 2014,107,Done,,
Elena's 7th Birthday,78,Done,,
George's Birthday,44,Done,,
Dayton Mall Library,30,Done,,
The Harlem Globetrotters 2013,69,Done,,
New Year 2414 Eve,103,Done,,
Chritmas Days,91,Done,,
Christmas Eve~ Noche Buena,81,Done,,
SHPE Christmas Party 2013,18,Done,,
Goddard Pagean 2013,200,Done,,
Thanksgiving 2013,93,Done,,
Our Home,36,Done,,
Gillian Veno Birthday-2013,16,Done,,
Noches De Ciencias,114,Done,,
Rennaisence Festival 2013,133,Done,,
2013 US Air Force Marathon,697,Done,,
Hawaiian Luau,82,Done,,
Holland- Michigan,101,Done,,
Sue's 60th Birthday,50,Done,,
Rachael's 40th Birthday,65,Done,,
Father Day 2013,33,Done,,
A World A' Fair 2013,147,Done,,
93rd Birthday of Lucian Davis,63,Done,,
OMC_2013,38,Done,,
Day 13 Ring of Kerry Excursion,437,Done,,
Easter 2013,85,Done,,
Grandkis Indoor Soccer 2013,37,Done,,
Jan's 60th Birthday,21,Done,,
Elena's 6th Birthday,136,Done,,
Dayton Mall Library Reunion,18,Done,,
Marilyn's Birthday,128,Done,,
New Years 2013,60,Done,,
Christmas 2012,21,Done,,
Christmas Eve 2012,61,Done,,
Gingerbread- cookies and grankids,49,Done,,
Holyday Pageant,44,Done,,
Thanksgiving 2012,39,Done,,
Renaissance Festival,268,Done,,
Day 3 ~ Around London,88,Done,,
Day 3 ~Westminster Abbey,61,Done,,
Day 3 ~Royal Albert Hall,105,Done,,
Day 3 ~Tower of London,97,Done,,
Day 3 ~ Thames River Boat Ride,101,Done,,
Day 3 Buckingham Palace,73,Done,,
Day 17 ~ Going to London- Harrods shopping,85,Done,,
Day 16 ~ Roman Bath,186,Done,,
Day 14 ~ Dungarvan -Waterford,135,Done,,
Day 14 ~ Waterford Chrystal,128,Done,,
Day 14 ~ Blarney Castle (Killarney),187,Done,,
Day 17 ~ London: Heathrow Airport,42,Done,,
Day 15 ~ Waterford - Cardiff,251,Done,,
Day 12 ~ Dublin-Kildare-Killarney,292,Done,,
Day 11 ~ Dublin Sighseeing (Ireland),280,Done,,
Day 10 ~ Chester-Dublin,244,Done,,
Day 9 ~ Lake District -Grasmere-Chester,287,Done,,
Day 8 ~ Highlands -Lake District,253,Done,,
Day 7 ~ Edinburgh-St Andrews - Highlands,288,Done,,
Day 6 ~ Queen's Holyroodhouse Palace,73,Done,,
Day 6 ~ Royal Mile- Edinburgh,136,Done,,
Day 6 ~ Edinburgh Castle,153,Done,,
Day 6 ~ Edinburgh Sightseeing,106,Done,,
Day 5 ~ York - Durham - Edinburgh,265,Done,,
Day 4 ~ London-Stratford-York,243,Done,,
Day 2-3 ~London Sightseeing,631,Done,,
Day 1 ~ Depart Home to London,23,Done,,
Debbie Sanders Retirement,26,Done,,
Elisita Cumpleanos,15,Done,,
Our Cousin in USA,66,Done,,
Alex 4th Birthday,87,Done,,
Elisa's USA Tour 2012,300,Done,,
Father Day 1976 (Armando Bebe 1976),53,Done,Check,Need to improve some pictures
Father Day 2012,28,Done,,
Beautiful Purses from Colombia,62,Done,in 2012,No added
Two awesome days with the grandkids,76,Done,,
Extrange visitor,20,Done,,
Tom Bowles 75th Birthday,75,Done,,
Ringling Brother Circus 2012,53,Done,,
Early Library Photos,32,Done,,
Easter 2012,77,Done,,
Colombia 1988,56,Done,Colombia visit in 1988,
Carlos and Edra Photos,30,TBD,,
Gillian Birthday,15,Done,,
Alex and Elena Soccer Games,17,Done,,
Mike's Bithday 2012,16,Done,,
Elena 5th Birthday,145,Done,,
Friends 2011,25,Done,,
Mikes Brunch,17,Done,,
Christmas 2011,139,Done,Eve,
Goddard School ~ Christmas,102,Done,,
Thanksgiving 2011,67,Done,,
Notre Dame 2011,133,Done,,
November 2011 Birthday,19,Done,,
Hockey 2011,62,Done,,
Elena Soccer Fall,55,Done,,
Barcelona 2001 September,75,Done,,
North Myrtle Beach 8_12_2011,39,Done,,
North Myrtle Beach -Bowles,202,Done,,
North Myrtle Beach 8-11-2011,29,Done,,
North Myrtle Beach 08_10_2011,25,Done,,
North Myrtle Beach- 8-9-2011,57,Done,,
North Myrtle Beach 08_08_2011,94,Done,,
North Myrtle Beach 08-07-2011,76,Done,,
North Myrtle Beach 8-6-2011,34,Done,,
Alex's Third Birthday,88,Done,,
Kaelyn Graduation Party,11,Done,See Graduation speeling Kaeleen,
Shrimp Boil,30,Done,,
Fathers and Mothers Day,26,Done,,
Galapagos Trip,75,Done,,
Eastern 2011,20,Done,,
Air Force Museum,64,Done,17-Apr-11,
Grand kids visits,81,,79 photos 2 Videos,
